2023-01-31T16:23:30.768+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.BasicTypeReference@7042af83
2023-01-31T16:23:30.768+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration image -> org.hibernate.type.BasicTypeReference@6c5ab442
2023-01-31T16:23:30.769+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration blob -> org.hibernate.type.BasicTypeReference@3f06daa9
2023-01-31T16:23:30.769+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Blob -> org.hibernate.type.BasicTypeReference@3f06daa9
2023-01-31T16:23:30.769+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_blob -> org.hibernate.type.BasicTypeReference@2657bd83
2023-01-31T16:23:30.769+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_blob_wrapper -> org.hibernate.type.BasicTypeReference@430c207d
2023-01-31T16:23:30.769+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration short -> org.hibernate.type.BasicTypeReference@7acd64fa
2023-01-31T16:23:30.769+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration short -> org.hibernate.type.BasicTypeReference@7acd64fa
2023-01-31T16:23:30.769+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Short -> org.hibernate.type.BasicTypeReference@7acd64fa
2023-01-31T16:23:30.770+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration integer -> org.hibernate.type.BasicTypeReference@73973a98
2023-01-31T16:23:30.770+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration int -> org.hibernate.type.BasicTypeReference@73973a98
2023-01-31T16:23:30.770+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Integer -> org.hibernate.type.BasicTypeReference@73973a98
2023-01-31T16:23:30.770+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration long -> org.hibernate.type.BasicTypeReference@68372acc
2023-01-31T16:23:30.770+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration long -> org.hibernate.type.BasicTypeReference@68372acc
2023-01-31T16:23:30.770+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Long -> org.hibernate.type.BasicTypeReference@68372acc
2023-01-31T16:23:30.771+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration float -> org.hibernate.type.BasicTypeReference@4a9ae07f
2023-01-31T16:23:30.771+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration float -> org.hibernate.type.BasicTypeReference@4a9ae07f
2023-01-31T16:23:30.771+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Float -> org.hibernate.type.BasicTypeReference@4a9ae07f
2023-01-31T16:23:30.771+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration double -> org.hibernate.type.BasicTypeReference@5be1a762
2023-01-31T16:23:30.771+05:30 DEBUG 11104 --- [restartedMain] org.hibernate.type.BasicTypeRegistry     : Adding type registration double -> org.hibernate.type.BasicTypeReference@5be1a762
